"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
157,17,12,16,5,3,2,0,546,546,514,2,10,1,70,1,180000,416000,30,2,305000,0,1,1,1
158,20,12,16,5,3,2,0,555,664,1501,3,2430,1,40,1,80000,715000,75,2,130000,0,1,1,1
159,18,12,16,5,3,2,0,644,603,502,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
160,19,8,8,5,3,2,0,585,523,506,2,430,1,40,1,85000,480000,40,3,285300,0,1,1,1
161,17,-2,7,5,3,2,0,490,427,514,1,5140,1,200,1,61000,193000,50,3,65400,0,1,3,1
162,17,16,17,1,3,1,-3,657,693,506,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
163,16,16,18,1,3,1,0,571,639,1010,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,19,12,12,5,3,2,0,447,425,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
165,18,10,12,5,3,2,0,496,475,-4,1,4600,4,-4,1,60000,263000,0,4,136000,0,1,1,1
166,17,10,12,1,3,1,0,557,525,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
167,19,12,12,5,3,2,1,435,433,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
168,17,6,10,3,2,1,1,425,433,1223,-5,4760,2,500,0,14000,0,10,2,28000,0,1,3,1
169,16,6,10,7,2,2,-5,435,418,4901,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
170,22,12,8,5,3,2,-5,-4,-4,2204,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
171,17,13,12,1,3,1,0,627,567,0,4,300,2,100,1,121500,5526252,10,4,232700,0,4,1,1
172,21,12,-2,6,3,2,0,344,291,-4,-4,-4,-4,-4,0,0,24507,0,2,12000,1,1,0,1
173,16,10,7,1,3,1,-5,526,524,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,18,13,12,8,1,2,0,528,492,4901,1,5840,2,16,0,33000,309350,10,2,59400,0,3,1,0
175,21,12,9,5,3,2,-3,-4,-4,837,-5,4110,2,10,0,-1,-3,0,1,-1,-3,-4,3,-4
176,19,12,12,5,3,2,1,579,628,802,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,18,12,12,1,3,1,0,484,538,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
178,20,12,14,1,3,1,0,592,533,501,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
179,20,11,12,5,3,2,0,475,469,-4,1,5860,2,3,0,5000,591000,10,2,59136,0,1,1,1
180,21,12,16,5,3,2,0,566,668,502,1,800,4,-4,1,90000,854300,20,3,321000,0,3,1,1
181,20,14,12,1,3,1,-5,-4,-4,-5,-5,4760,2,100,0,60000,445000,10,4,60000,0,3,1,1
182,14,-2,-2,1,3,1,-5,-4,-4,-5,-5,-4,-4,-4,0,0,733,100,1,8796,1,3,0,1
183,20,12,12,5,3,2,0,514,510,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
184,18,12,12,5,3,2,0,537,519,1011,1,2540,1,60,0,19000,-3,25,3,28600,0,3,1,1
185,14,12,12,1,3,1,0,522,558,-4,1,5510,2,350,1,78000,230000,20,3,-2,-3,1,0,1
